{'temp_3': b'25', 'Cond1': 'on30h', 'Cond2': 'on30h', 'temp_8': b'25', 'temp_1': b'25', 'temp_9': b'25', 'temp_2': b'24', 'temp_4': b'25', 'temp_6': b'24', 'temp_5': b'25', 'temp_7': b'24', 'temp_10': b'25', 'ttime': b'11.06.2019 18:05:02'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 19:51:19.411744', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'on30m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 20:11:20.565004', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'on30l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 20:31:21.702405', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'on23m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 20:51:22.897728', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'off', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 21:11:24.041673', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'on30h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 21:31:25.175441', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'on16m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 21:51:26.405570', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16l', 'Cond2': 'on23l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 22:11:28.753207', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on23h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 22:31:29.910573', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on16l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 22:51:31.097130', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on16h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
